message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=1.431478, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.206013415";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.431478, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.193189515";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.400358, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.192240787";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.400358, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.176217824";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.369239, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.175715671";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.369239, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.159379876";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.338120, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.158174223";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.338120, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.144176310";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.307001, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.141841560";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.307001, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.127474152";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.275882, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.127469353";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.275882, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.112129260";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.244763, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.110345020";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.244763, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.095807990";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.213644, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.094449499";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.213644, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.079733312";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.182525, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.077626523";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.182525, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.070352497";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.151406, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.063235115";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.151406, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.048822493";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.120287, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.046918438";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.120287, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.031514599";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.089168, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.029645933";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.089168, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.015949982";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.058049, y=-0.007457])";"30";"turtlesim3.sim";"1760103495.014079424";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.058049, y=-0.007457])";"30";"turtlesim2.sim";"1760103495.000217992";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.026930, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.998330403";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=1.026930, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.984026721";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.995810, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.982777431";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.995810, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.967537650";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.964691, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.966266634";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.964691, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.952156374";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.933572, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.949915772";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.933572, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.936020435";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.902453, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.934190196";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.902453, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.919980996";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.871334, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.918754412";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.871334, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.904166052";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.840215, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.902066387";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.840215, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.887597878";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.809096, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.886669726";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.809096, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.871258344";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.777977, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.870179333";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.777977, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.856955978";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.746858, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.854593281";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.746858, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.839780105";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.715739, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.839710832";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.715739, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.823378142";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.684620, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.822552722";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.684620, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.807926035";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.653501, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.806373644";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.653501, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.798029886";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.622382, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.794299891";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.622382, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.776170267";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.591262, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.774443934";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.591262, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.759825560";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.560143, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.758253864";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.560143, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.744077494";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.529024, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.742479436";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.529024, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.728345437";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.497905, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.727357725";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.497905, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.712738300";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.466786, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.709972421";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.466786, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.695469486";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.435667, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.694279626";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.435667, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.679134670";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.404548, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.678028792";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.404548, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.664374150";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.373429, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.662079246";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.373429, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.648135640";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.342310, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.647394910";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.342310, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.632032627";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.311191, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.629841623";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.311191, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.615216625";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.280072, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.613857498";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.280072, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.599854131";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.248953, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.598315940";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.248953, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.584105805";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.217834, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.582853190";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.217834, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.567320919";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.186714, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.565905463";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.186714, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.551422012";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.155595, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.550379826";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.155595, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.536738162";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.124476, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.535112735";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.124476, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.523159194";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.093357, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.519339238";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.093357, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.504767053";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.062238, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.502869615";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.062238, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.487853046";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.031119, y=-0.007457])";"30";"turtlesim3.sim";"1760103494.486382628";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=0.031119, y=-0.007457])";"30";"turtlesim2.sim";"1760103494.472114894";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim3.sim";"1760103492.774700860";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim2.sim";"1760103492.760318652";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim3.sim";"1760103492.758780866";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim2.sim";"1760103492.744021057";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim3.sim";"1760103492.743090538";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim2.sim";"1760103492.727671364";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim3.sim";"1760103492.726634659";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim2.sim";"1760103492.711940634";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim3.sim";"1760103492.709821582";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=-0.024874])";"30";"turtlesim2.sim";"1760103492.695839087";"/root/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
